symbol,reason
OPGUSDT,fapi kline 无数据
BBUSDT,fapi kline 无数据
CHIPUSDT,fapi kline 无数据
SPKUSDT,fapi kline 无数据
MAGMAUSDT,fapi kline 无数据
UBUSDT,fapi kline 无数据
币安人生USDT,fapi kline 无数据
TACUSDT,fapi kline 无数据
HIGHUSDT,fapi kline 无数据
ZEREBROUSDT,fapi kline 无数据
HUMAUSDT,fapi kline 无数据
XNYUSDT,fapi kline 无数据
MEGAUSDT,fapi kline 无数据
GENIUSUSDT,fapi kline 无数据
VELVETUSDT,fapi kline 无数据
BASUSDT,fapi kline 无数据
STRKUSDT,fapi kline 无数据
IRUSDT,fapi kline 无数据
ONUSDT,fapi kline 无数据
BIOUSDT,fapi kline 无数据
HUSDT,fapi kline 无数据
TAKEUSDT,fapi kline 无数据
UAIUSDT,fapi kline 无数据
ACUUSDT,fapi kline 无数据
QUSDT,fapi kline 无数据
CLOUSDT,fapi kline 无数据
BSBUSDT,fapi kline 无数据
EDUUSDT,fapi kline 无数据
BANUSDT,fapi kline 无数据
METUSDT,fapi kline 无数据
